uid,title,link,is_comp_method,is_tool,is_annotation_tool,is_database,is_application,is_benchmark,has_comparisons,comment,
17468122,GAzer: gene set analyzer.,,,y,,,,,,,
18434345,Annotation-Modules: a tool for finding significant combinations of multisource annotations for gene lists.,https://doi.org/10.1093/bioinformatics/btn178,,,y,,,,,,
19706745,integrOmics: an R package to unravel relationships between two omics datasets.,https://doi.org/10.1093/bioinformatics/btp515,,y,,,,,,,
20529914,Integrating quantitative proteomics and metabolomics with a genome-scale metabolic network model.,https://doi.org/10.1093/bioinformatics/btq183,y,,,,,,,,
21666268,MGV: a generic graph viewer for comparative omics data.,https://doi.org/10.1093/bioinformatics/btr351,,y,,,,,,,
24058055,customProDB: an R package to generate customized protein databases from RNA-Seq data for proteomics search.,https://doi.org/10.1093/bioinformatics/btt543,,y,,,,,,,
25236464,RAMONA: a Web application for gene set analysis on multilevel omics data.,https://doi.org/10.1093/bioinformatics/btu610,,y,,,,,,,
25527095,Empowering biologists with multi-omics data: colorectal cancer as a paradigm.,https://doi.org/10.1093/bioinformatics/btu834,,y,,,,,,,
25637560,Omics Pipe: a community-based framework for reproducible multi-omics data analysis.,https://doi.org/10.1093/bioinformatics/btv061,,y,,,,,,not accessible,
26072472,MSProGene: integrative proteogenomics beyond six-frames and single nucleotide polymorphisms.,https://doi.org/10.1093/bioinformatics/btv236,,y,,,,,,,
26377073,A non-negative matrix factorization method for detecting modules in heterogeneous omics multi-modal data.,https://doi.org/10.1093/bioinformatics/btv544,y,,,,,,,,
26568631,CHRONOS: a time-varying method for microRNA-mediated subpathway enrichment analysis.,https://doi.org/10.1093/bioinformatics/btv673,y,,,,,,y,,
26787660,Multi-omics enrichment analysis using the GeneTrail2 web service.,https://doi.org/10.1093/bioinformatics/btv770,,y,,,,,,,
26883487,Computationally expanding infinium HumanMethylation450 BeadChip array data to reveal distinct DNA methylation patterns of rheumatoid arthritis.,https://doi.org/10.1093/bioinformatics/btw089,,,,,y,,,,
27797774,Web-igloo: a web based platform for multivariate data visualization.,https://doi.org/10.1093/bioinformatics/btw669,,y,,,,,,,
28082455,Modeling gene-wise dependencies improves the identification of drug response biomarkers in cancer studies.,https://doi.org/10.1093/bioinformatics/btw836,y,,,,,,,,
28334215,Systematic inference of functional phosphorylation events in yeast metabolism.,https://doi.org/10.1093/bioinformatics/btx110,y,,,,,,,,
28407042,Incorporating prior information into differential network analysis using non-paranormal graphical models.,https://doi.org/10.1093/bioinformatics/btx208,y,,,,,,,,
28520848,Pattern fusion analysis by adaptive alignment of multiple heterogeneous omics data.,https://doi.org/10.1093/bioinformatics/btx176,y,,,,,,,,
28605519,"CancerSubtypes: an R/Bioconductor package for molecular cancer subtype identification, validation and visualization.",https://doi.org/10.1093/bioinformatics/btx378,,y,,,,,,,
28961954,"PiMP my metabolome: an integrated, web-based tool for LC-MS metabolomics data.",https://doi.org/10.1093/bioinformatics/btx499,,y,,,,,,,
29069296,xMWAS: a data-driven integration and differential network analysis tool.,https://doi.org/10.1093/bioinformatics/btx656,,y,,,,,,,
29077792,Unsupervised multiple kernel learning for heterogeneous data integration.,https://doi.org/10.1093/bioinformatics/btx682,y,,,,,,,,
29186328,Meta-analytic principal component analysis in integrative omics application.,https://doi.org/10.1093/bioinformatics/btx765,y,y,,,,,,,
29186355,"Global proteomics profiling improves drug sensitivity prediction: results from a multi-omics, pan-cancer modeling approach.",https://doi.org/10.1093/bioinformatics/btx766,,,,,y,,,,
29547932,Network-based integration of multi-omics data for prioritizing cancer genes.,https://doi.org/10.1093/bioinformatics/bty148,y,,,,,,,,
29590301,"GENEASE: real time bioinformatics tool for multi-omics and disease ontology exploration, analysis and visualization.",https://doi.org/10.1093/bioinformatics/bty182,,y,,,,,,,
29912365,TiSAn: estimating tissue-specific effects of coding and non-coding variants.,https://doi.org/10.1093/bioinformatics/bty301,y,y,,,,,,,
29931190,Grimon: graphical interface to visualize multi-omics networks.,https://doi.org/10.1093/bioinformatics/bty488,,y,,,,,,,
29939219,Robust clustering of noisy high-dimensional gene expression data for patients subtyping.,https://doi.org/10.1093/bioinformatics/bty502,y,,,,,,,,
30059974,DiscoverSL: an R package for multi-omic data driven prediction of synthetic lethality in cancers.,https://doi.org/10.1093/bioinformatics/bty673,y,,,,,,,,
30184058,Bayesian integrative model for multi-omics data with missingness.,https://doi.org/10.1093/bioinformatics/bty775,y,,,,,,,,
30202885,TOBMI: trans-omics block missing data imputation using a k-nearest neighbor weighted approach.,https://doi.org/10.1093/bioinformatics/bty796,y,,,,,,,c/no code,
30239606,Powerful and efficient SNP-set association tests across multiple phenotypes using GWAS summary data.,https://doi.org/10.1093/bioinformatics/bty811,y,,,,,,,,
30295701,Multi-insight visualization of multi-omics data via ensemble dimension reduction and tensor factorization.,https://doi.org/10.1093/bioinformatics/bty847,y,,,,,,,not accessible,
30329022,Integrative cancer patient stratification via subspace merging.,https://doi.org/10.1093/bioinformatics/bty866,y,,,,,,,,
30358822,A framework for identifying dysregulated chromatin regulators as master regulators in human cancer.,https://doi.org/10.1093/bioinformatics/bty836,y,,,,,,,,
30423084,iTOP: inferring the topology of omics data.,https://doi.org/10.1093/bioinformatics/bty636,y,,,,,,,,
30535135,WIlsON: Web-based Interactive Omics VisualizatioN.,https://doi.org/10.1093/bioinformatics/bty711,,y,,,,,,,
30561547,"Multiomics modeling of the immunome, transcriptome, microbiome, proteome and metabolome adaptations during human pregnancy.",https://doi.org/10.1093/bioinformatics/bty537,,,,,y,,,,
30596886,Multiview: a software package for multiview pattern recognition methods.,https://doi.org/10.1093/bioinformatics/bty1039,,y,,,,,,,
30657866,DIABLO: an integrative approach for identifying key molecular drivers from multi-omics assays.,https://doi.org/10.1093/bioinformatics/bty1054,y,,,,,,,,
30668675,The ReproGenomics Viewer: a multi-omics and cross-species resource compatible with single-cell studies for the reproductive science community.,https://doi.org/10.1093/bioinformatics/btz047,,y,,,,,,,
30698637,NEMO: cancer subtyping by integration of partial multi-omic data.,https://doi.org/10.1093/bioinformatics/btz058,y,,,,,,,,
30768150,Driver network as a biomarker: systematic integration and network modeling of multi-omics data to derive driver signaling pathways for drug combination prediction.,https://doi.org/10.1093/bioinformatics/btz109,y,,,,,,,,
30825303,Enhancing the prediction of disease-gene associations with multimodal deep learning.,https://doi.org/10.1093/bioinformatics/btz155,y,,,,,,,,
30863842,Using association signal annotations to boost similarity network fusion.,https://doi.org/10.1093/bioinformatics/btz124,y,,,,,,,,
30957844,Unsupervised discovery of phenotype-specific multi-omics networks.,https://doi.org/10.1093/bioinformatics/btz226,y,,,,,,,,
31141125,"CNet: a multi-omics approach to detecting clinically associated, combinatory genomic signatures.",https://doi.org/10.1093/bioinformatics/btz441,y,,,,,,,,
31406990,Haplotype-aware graph indexes.,https://doi.org/10.1093/bioinformatics/btz575,y,,,,,,,,
31501851,Spectrum: fast density-aware spectral clustering for single and multi-omic data.,https://doi.org/10.1093/bioinformatics/btz704,y,,,,,,,,
31504182,Gene relevance based on multiple evidences in complex networks.,https://doi.org/10.1093/bioinformatics/btz652,y,,,,,,,,
31504184,A latent unknown clustering integrating multi-omics data (LUCID) with phenotypic traits.,https://doi.org/10.1093/bioinformatics/btz667,y,,,,,,,,
31510680,Identifying and ranking potential driver genes of Alzheimer's disease using multiview evidence aggregation.,https://doi.org/10.1093/bioinformatics/btz365,y,,,,y,,,,
31510700,MOLI: multi-omics late integration with deep neural networks for drug response prediction.,https://doi.org/10.1093/bioinformatics/btz318,y,,,,,,,,
31693075,Multi-kernel linear mixed model with adaptive lasso for prediction analysis on high-dimensional multi-omics data.,https://doi.org/10.1093/bioinformatics/btz822,y,,,,,,,,
31693090,Quantifying functional impact of non-coding variants with multi-task Bayesian neural network.,https://doi.org/10.1093/bioinformatics/btz767,y,,,,,,,,
31778157,Designing a general method for predicting the regulatory relationships between long noncoding RNAs and protein-coding genes based on multi-omics characteristics.,https://doi.org/10.1093/bioinformatics/btz886,y,,,,,,,,
31873721,Multi-omics reveals functional genomic and metabolic mechanisms of milk production and quality in dairy cows.,https://doi.org/10.1093/bioinformatics/btz951,,,,,y,,,,
31913435,A U-statistics for integrative analysis of multilayer omics data.,https://doi.org/10.1093/bioinformatics/btaa004,y,,,,,,,,
31960894,sismonr: simulation of in silico multi-omic networks with adjustable ploidy and post-transcriptional regulation in R.,https://doi.org/10.1093/bioinformatics/btaa002,,y,,,,,,,
31971579,Network-based prediction of drug-target interactions using an arbitrary-order proximity embedded deep forest.,https://doi.org/10.1093/bioinformatics/btaa010,y,,,,,,,,
32176258,M2IA: a web server for microbiome and metabolome integrative analysis.,https://doi.org/10.1093/bioinformatics/btaa188,,y,,,,,,,
32407457,iSOM-GSN: An Integrative Approach for Transforming Multi-omic Data into Gene Similarity Networks via Self-organizing Maps.,https://doi.org/10.1093/bioinformatics/btaa500,y,,,,,,,,
32437529,Integrating multi-OMICS data through sparse Canonical Correlation Analysis for the prediction of complex traits: A comparison study.,https://doi.org/10.1093/bioinformatics/btaa530,y,,,,,,,,
32657371,AITL: Adversarial Inductive Transfer Learning with input and output space adaptation for pharmacogenomics.,https://doi.org/10.1093/bioinformatics/btaa442,y,,,,,,y,,
32657382,Unsupervised topological alignment for single-cell multi-omics integration.,https://doi.org/10.1093/bioinformatics/btaa443,y,,,,,,,,
32692809,Manuscript Strategy for improved characterisation of human metabolic phenotypes using a COmbined Multiblock Principal components Analysis with Statistical Spectroscopy (COMPASS).,https://doi.org/10.1093/bioinformatics/btaa649,y,,,,,,,,
